Width,Height,Elongation,Label
0.486,0.19854721549636803,0.11983400920770235,car
0.452,0.1162227602905569,0.19177972362857756,fish
0.318,0.3486682808716707,0.0038145072318882204,house
0.296,0.6053268765133172,0.06280754547964038,tree
0.394,0.2857142857142857,0.03588463049407669,bicycle
0.426,0.4745762711864407,0.13627753151133715,guitar
0.162,0.5956416464891041,0.7944669125620316,pencil
0.444,0.4794188861985472,0.0071543381406403836,clock
0.49,0.22276029055690072,0.10109273405206384,car
0.382,0.13075060532687652,0.13443661039658014,fish
0.36,0.37530266343825663,0.0044008399895971145,house
0.438,0.6513317191283293,0.019566301428200525,tree
0.462,0.29782082324455206,0.05689637317238855,bicycle
0.452,0.5108958837772397,0.14558372730798308,guitar
0.324,0.48426150121065376,0.4399552655761685,pencil
0.378,0.43825665859564167,0.00039033254149836483,clock
0.478,0.2711864406779661,0.07183987215913225,car
0.288,0.13559322033898305,0.08146331001098195,fish
0.426,0.39709443099273606,0.016966177623965354,house
0.61,0.7094430992736077,0.0028297299390770275,tree
0.288,0.28329297820823246,0.013351801913929219,bicycle
0.154,0.45278450363196127,0.12198530622773075,guitar
0.036,0.5254237288135594,0.48245102129198064,pencil
0.222,0.25907990314769974,0.00459049070168004,clock
0.466,0.29782082324455206,0.058085046364040556,car
0.444,0.17675544794188863,0.117782844397132,fish
0.484,0.5738498789346247,0.0024226101606459483,house
0.47,0.5472154963680388,0.0005807299104737652,tree
0.438,0.3704600484261501,0.030745091933024667,bicycle
0.58,0.24939467312348668,0.11177731743999283,guitar
0.044,0.2711864406779661,0.3123904309905833,pencil
0.674,0.7820823244552058,0.0016109678302302572,clock
0.458,0.3704600484261501,0.03869005418438354,car
0.34,0.2009685230024213,0.0593377837726996,fish
0.486,0.5980629539951574,0.010945015164588356,house
0.586,0.6755447941888619,0.009108031573771427,tree
0.328,0.23728813559322035,0.0037394734880256447,bicycle
0.204,0.6900726392251816,0.12783872843673483,guitar
0.056,0.7142857142857143,0.50060196095514,pencil
0.658,0.7094430992736077,0.015069942479472158,clock
0.34,0.13559322033898305,0.11024197004676009,car
0.412,0.15738498789346247,0.13184704295597435,fish
0.634,0.5980629539951574,0.018579828975322236,house
0.584,0.7893462469733656,0.019667127732231712,tree
0.398,0.30024213075060535,0.036165608318212854,bicycle
0.266,0.8668280871670703,0.12398428539620589,guitar
0.564,0.009685230024213076,0.8686551081225341,pencil
0.512,0.5932203389830508,0.0040622726734284844,clock
0.588,0.3099273607748184,0.0843087483517086,car
0.608,0.3946731234866828,0.059723987070200366,fish
0.582,0.7409200968523002,0.005490849736462065,house
0.56,0.9176755447941889,0.04505890070044846,tree
0.498,0.4891041162227603,0.019187869363192053,bicycle
0.608,0.6198547215496368,0.17263658129051226,guitar
0.502,0.6973365617433414,0.6858470617423533,pencil
0.428,0.5157384987893463,0.0020772479599739197,clock
0.62,0.31234866828087166,0.0917209401355324,car
0.33,0.22518159806295399,0.055842172201390906,fish
0.256,0.5690072639225182,0.060125273850771516,house
0.318,0.5254237288135594,0.03626932092269373,tree
0.302,0.26150121065375304,0.031126287663994227,bicycle
0.276,0.6464891041162227,0.17520169150503725,guitar
0.236,0.6222760290556901,0.5115466226729328,pencil
0.38,0.44552058111380144,0.010976430734153476,clock
0.646,0.44552058111380144,0.052191901969869565,car
0.286,0.559322033898305,0.0474231295575742,fish
0.344,0.5714285714285714,0.034531547654214484,house
0.456,0.6343825665859564,0.010538349080224756,tree
0.416,0.17433414043583534,0.10812622275864214,bicycle
0.296,0.6222760290556901,0.05220437210664149,guitar
